SOC,FRACSEC,FREQ,[R-PHASE VOLTAGE],[Y-PHASE VOLTAGE],[B-PHASE VOLTAGE],
1670025783,360000,49.968048,32.556511∠-34.791241,33.215347∠-154.792244,33.119160∠85.922635,
1764338177,5636097,33.114708,-0.000000∠-2954499795974.521973,32.557072∠-40.447903,33.211571∠-160.450399,
0,255,33.114708,-0.000000∠-2954499795974.521973,32.557072∠-40.447903,33.211571∠-160.450399,
1670025784,320000,49.967171,32.537418∠-46.031104,33.211094∠-166.041845,33.106743∠74.722058,
1670025784,360000,49.966347,32.536255∠-46.484093,33.212650∠-166.500957,33.107555∠74.268871,
1670025784,400000,49.966202,32.536423∠-46.946428,33.212124∠-166.969609,33.108429∠73.807968,
1670025784,440000,49.966961,32.535252∠-47.415818,33.212196∠-167.439423,33.108135∠73.339234,
1670025784,480000,49.967583,32.533062∠-47.894372,33.211586∠-167.920594,33.108788∠72.855733,
1670025784,520000,49.967510,32.532574∠-48.381509,33.212524∠-168.401560,33.107647∠72.363655,
1670025784,560000,49.967197,32.531403∠-48.851906,33.213539∠-168.871442,33.105087∠71.894566,
1670025784,600000,49.967571,32.531525∠-49.316745,33.213623∠-169.334559,33.102573∠71.432652,
1670025784,640000,49.967049,32.533012∠-49.768084,33.212925∠-169.785389,33.103447∠70.984262,
1670025784,680000,49.967743,32.534130∠-50.230418,33.214333∠-170.249025,33.102901∠70.520291,
1670025784,720000,49.967995,32.535973∠-50.685482,33.216328∠-170.710214,33.103020∠70.064028,
1670025784,760000,49.966908,32.537403∠-51.145800,33.219337∠-171.174903,33.103733∠69.606420,
1670025784,800000,49.967449,32.538586∠-51.604683,33.221741∠-171.642994,33.105713∠69.148517,
1670025784,840000,49.967396,32.538338∠-52.062039,33.223133∠-172.103678,33.107662∠68.687450,
1670025784,880000,49.966599,32.538445∠-52.533141,33.222729∠-172.576895,33.109600∠68.213878,
1670025784,920000,49.967110,32.538456∠-53.000331,33.222645∠-173.041707,33.110619∠67.749005,
1670025784,960000,49.967808,32.540718∠-53.475587,33.222870∠-173.517028,33.110821∠67.273362,
1670025785,0,49.966873,32.541172∠-53.952245,33.221840∠-173.989070,33.112225∠66.799578,
1670025785,40000,49.966923,32.542923∠-54.420354,33.221157∠-174.449918,33.111572∠66.332006,
1670025785,80000,49.968086,32.542923∠-54.888828,33.222103∠-174.914497,33.112507∠65.861495,
1670025785,120000,49.967918,32.544037∠-55.340136,33.224174∠-175.368374,33.111137∠65.406552,
1670025785,160000,49.967197,32.544250∠-55.805890,33.225071∠-175.831969,33.109852∠64.939683,
1670025785,200000,49.966396,32.543720∠-56.267247,33.223339∠-176.295141,33.108997∠64.477612,
1670025785,240000,49.966934,32.543327∠-56.737065,33.222389∠-176.767046,33.109093∠64.004805,
1670025785,280000,49.968086,32.542786∠-57.201780,33.222195∠-177.234686,33.109028∠63.535839,
1670025785,320000,49.967461,32.543076∠-57.664726,33.223782∠-177.701097,33.109879∠63.073310,
1670025785,360000,49.967468,32.544289∠-58.133050,33.225994∠-178.168396,33.110706∠62.608369,
1670025785,400000,49.968147,32.545986∠-58.594342,33.229279∠-178.632619,33.111900∠62.145669,
1670025785,440000,49.968315,32.548428∠-59.046785,33.231419∠-179.080128,33.112686∠61.696500,
1670025785,480000,49.968082,32.552067∠-59.494792,33.234619∠-179.524288,33.113728∠61.253050,
1670025785,520000,49.967945,32.555134∠-59.948971,33.237995∠-179.977373,33.117218∠60.797287,
1670025785,560000,49.968193,32.558277∠-60.394504,33.239357∠179.905210,33.118984∠60.346764,
1670025785,600000,49.968399,32.559868∠-60.833655,33.239811∠179.463728,33.118614∠59.904388,
1670025785,640000,49.968285,32.559227∠-61.282333,33.239597∠179.011040,33.119221∠59.457310,
1670025785,680000,49.967983,32.559616∠-61.725734,33.237701∠178.564529,33.118786∠59.013724,
1670025785,720000,49.968254,32.559586∠-62.174903,33.233891∠178.112524,33.117668∠58.560714,
1670025785,760000,49.968185,32.559109∠-62.625350,33.227341∠177.659931,33.114399∠58.101677,
1670025785,800000,49.967781,32.560608∠-63.080110,33.219604∠177.206723,33.109562∠57.639790,
1670025785,840000,49.967819,32.561806∠-63.542263,33.215096∠176.749852,33.106510∠57.173786,
1670025785,880000,49.968346,32.562725∠-63.997234,33.214268∠176.298298,33.105515∠56.719792,
1670025785,920000,49.968552,32.563793∠-64.460822,33.215263∠175.836056,33.106533∠56.258473,
1670025785,960000,49.967281,32.562630∠-64.915151,33.215889∠175.381536,33.108292∠55.809058,
1670025786,0,49.967159,32.562893∠-65.373764,33.214859∠174.926934,33.109882∠55.354681,
1670025786,40000,49.968582,32.561680∠-65.835452,33.214336∠174.470050,33.108852∠54.895508,
1670025786,80000,49.968658,32.561699∠-66.291893,33.212669∠174.014368,33.108692∠54.437964,
1670025786,120000,49.968231,32.562710∠-66.744574,33.210964∠173.561242,33.106903∠53.980341,
1670025786,160000,49.967560,32.564358∠-67.189008,33.209541∠173.113856,33.104805∠53.535050,
1670025786,200000,49.968182,32.567200∠-67.640350,33.208557∠172.664612,33.105129∠53.087996,
1670025786,240000,49.969257,32.568027∠-68.091139,33.209015∠172.212935,33.105793∠52.637115,
1670025786,280000,49.968697,32.567112∠-68.539358,33.208656∠171.766069,33.104687∠52.190300,
1670025786,320000,49.968746,32.565929∠-68.969988,33.207684∠171.330765,33.103523∠51.756052,
1670025786,360000,49.969490,32.565357∠-69.417018,33.207302∠170.888914,33.103596∠51.315466,
1670025786,400000,49.968857,32.564705∠-69.852534,33.208157∠170.454608,33.105591∠50.876756,
1670025786,440000,49.967812,32.564980∠-70.287714,33.209202∠170.019428,33.107983∠50.440632,
1670025786,480000,49.968071,32.563431∠-70.730562,33.208977∠169.579860,33.107750∠49.998638,
1670025786,520000,49.968819,32.562416∠-71.165313,33.208282∠169.137681,33.106724∠49.565719,
1670025786,560000,49.968006,32.559120∠-71.627828,33.203770∠168.682724,33.103558∠49.110564,
1670025786,600000,49.967617,32.553413∠-72.074038,33.197414∠168.241912,33.099728∠48.672209,
1670025786,640000,49.969330,32.543522∠-72.526262,33.188778∠167.798805,33.095165∠48.222260,
1670025786,680000,49.969666,32.534653∠-72.967368,33.179714∠167.366152,33.089745∠47.784712,
1670025786,720000,49.969589,32.525467∠-73.404865,33.171680∠166.932461,33.085285∠47.345653,
1670025786,760000,49.970615,32.521004∠-73.815062,33.168053∠166.518274,33.083504∠46.933140,
1670025786,800000,49.971416,32.522217∠-74.212760,33.168549∠166.115758,33.083866∠46.535117,
1670025786,840000,49.971531,32.529205∠-74.632544,33.173496∠165.688572,33.086304∠46.110111,
1670025786,880000,49.970917,32.536800∠-75.022459,33.181393∠165.287984,33.091202∠45.713312,
1670025786,920000,49.970016,32.544041∠-75.424251,33.191582∠164.884169,33.094612∠45.312662,
1670025786,960000,49.969543,32.550499∠-75.840550,33.198318∠164.466346,33.098251∠44.894193,
1670025787,0,49.969830,32.551987∠-76.272614,33.202381∠164.035279,33.100300∠44.463228,
1670025787,40000,49.970367,32.552101∠-76.710119,33.204460∠163.594003,33.100693∠44.018549,
1670025787,80000,49.970093,32.550747∠-77.138732,33.204155∠163.172052,33.097198∠43.584759,
1670025787,120000,49.969257,32.551060∠-77.577637,33.203617∠162.738553,33.091026∠43.140981,
1670025787,160000,49.968857,32.547615∠-78.018469,33.204075∠162.298930,33.083649∠42.696790,
1670025787,200000,49.969566,32.545685∠-78.455598,33.202507∠161.868164,33.080807∠42.264910,
1670025787,240000,49.970005,32.545563∠-78.900585,33.201065∠161.424550,33.079865∠41.820275,
1670025787,280000,49.969742,32.545097∠-79.332834,33.200943∠160.991228,33.081268∠41.387479,
1670025787,320000,49.970154,32.548084∠-79.765999,33.199177∠160.557674,33.084648∠40.959874,
1670025787,360000,49.970154,32.551094∠-80.192473,33.197823∠160.130817,33.087097∠40.534393,
1670025787,400000,49.969269,32.553196∠-80.623219,33.197414∠159.708237,33.088821∠40.104331,
1670025787,440000,49.968670,32.552052∠-81.053083,33.198425∠159.280259,33.089390∠39.678222,
1670025787,480000,49.969620,32.552567∠-81.478430,33.198303∠158.850040,33.090786∠39.252069,
1670025787,520000,49.970421,32.552593∠-81.913454,33.198624∠158.411196,33.091404∠38.817165,
1670025787,560000,49.969757,32.551510∠-82.346072,33.199615∠157.973569,33.092667∠38.379175,
1670025787,600000,49.969372,32.552502∠-82.774624,33.200062∠157.537185,33.091576∠37.942512,
1670025787,640000,49.969856,32.553791∠-83.196178,33.202332∠157.110588,33.090939∠37.512528,
1670025787,680000,49.969830,32.553555∠-83.630717,33.205097∠156.677676,33.091465∠37.079715,
1670025787,720000,49.969620,32.552036∠-84.061831,33.206367∠156.242413,33.093410∠36.645587,
1670025787,760000,49.968895,32.549522∠-84.506784,33.206284∠155.800986,33.093731∠36.203565,
1670025787,800000,49.967335,32.548153∠-84.943038,33.206573∠155.366462,33.091858∠35.771504,
1670025787,840000,49.967373,32.545738∠-85.394066,33.204819∠154.912516,33.087971∠35.325509,
1670025787,880000,49.968918,32.543015∠-85.855269,33.199471∠154.449290,33.083302∠34.867528,
1670025787,920000,49.969257,32.540047∠-86.305662,33.193924∠153.997298,33.078033∠34.421246,
1670025787,960000,49.968010,32.535896∠-86.778263,33.187828∠153.525229,33.074337∠33.952420,
1670025788,0,49.968521,32.531319∠-87.241325,33.182648∠153.063466,33.071960∠33.493567,
1670025788,40000,49.969494,32.527241∠-87.688697,33.179226∠152.619169,33.070152∠33.043438,
1670025788,80000,49.970116,32.524410∠-88.111871,33.178715∠152.195359,33.070324∠32.618323,
1670025788,120000,49.969467,32.521866∠-88.519895,33.181332∠151.781254,33.070232∠32.203319,
1670025788,160000,49.969017,32.521259∠-88.952506,33.182976∠151.341535,33.069099∠31.760180,
1670025788,200000,49.969208,32.521267∠-89.366920,33.186153∠150.917371,33.068745∠31.335524,
1670025788,240000,49.969078,32.523094∠-89.797331,33.187038∠150.484677,33.066673∠30.900527,
1670025788,280000,49.970619,32.525696∠-90.232723,33.187679∠150.055018,33.066566∠30.465897,
1670025788,320000,49.970619,32.528606∠-90.676002,33.188263∠149.613728,33.069954∠30.029131,
1670025788,360000,49.969582,32.531990∠-91.108859,33.187607∠149.187008,33.073990∠29.606824,
1670025788,400000,49.970081,32.535717∠-91.533557,33.189365∠148.763485,33.077431∠29.187652,
1670025788,440000,49.970154,32.538982∠-91.943631,33.191456∠148.355092,33.080715∠28.785341,
1670025788,480000,49.969666,32.539787∠-92.359110,33.193233∠147.940494,33.082520∠28.370564,
1670025788,520000,49.968571,32.539146∠-92.788482,33.193108∠147.512093,33.081055∠27.941615,
1670025788,560000,49.967731,32.535980∠-93.229225,33.191734∠147.073112,33.076866∠27.500219,
1670025788,600000,49.969219,32.532944∠-93.686486,33.188293∠146.619536,33.071785∠27.047447,
1670025788,640000,49.968971,32.528587∠-94.127714,33.185371∠146.174760,33.067577∠26.608983,
1670025788,680000,49.968582,32.525692∠-94.582508,33.182545∠145.720650,33.065590∠26.148283,
1670025788,720000,49.969379,32.524200∠-95.024344,33.181229∠145.275288,33.064117∠25.703436,
1670025788,760000,49.968468,32.523235∠-95.467220,33.180763∠144.831168,33.064995∠25.261567,
1670025788,800000,49.968407,32.524010∠-95.915166,33.180996∠144.385040,33.067078∠24.817757,
1670025788,840000,49.969093,32.524712∠-96.373499,33.183853∠143.929700,33.071247∠24.363060,
1670025788,880000,49.969917,32.528275∠-96.819094,33.188049∠143.491130,33.077202∠23.918717,
1670025788,920000,49.969330,32.532909∠-97.265058,33.194462∠143.046546,33.083893∠23.472664,
1670025788,960000,49.968071,32.538597∠-97.689886,33.199997∠142.617106,33.087433∠23.038843,
1670025789,0,49.968731,32.543568∠-98.127171,33.203758∠142.173930,33.088814∠22.594256,
1670025789,40000,49.968918,32.546234∠-98.560637,33.205338∠141.744202,33.087139∠22.158877,
1670025789,80000,49.968357,32.545971∠-99.023036,33.204845∠141.281728,33.084724∠21.696910,
1670025789,120000,49.968269,32.543823∠-99.471652,33.203693∠140.831007,33.083008∠21.248137,
1670025789,160000,49.968105,32.538952∠-99.937379,33.202728∠140.359185,33.082485∠20.779724,
1670025789,200000,49.967346,32.536434∠-100.388168,33.198486∠139.911266,33.081055∠20.328585,
1670025789,240000,49.967258,32.534595∠-100.842558,33.193729∠139.457183,33.078690∠19.874086,
1670025789,280000,49.968384,32.533154∠-101.310697,33.188255∠138.991839,33.076298∠19.406375,
1670025789,320000,49.968197,32.533371∠-101.781796,33.184975∠138.517679,33.073734∠18.933074,
1670025789,360000,49.967472,32.533031∠-102.240532,33.183765∠138.057692,33.068546∠18.472206,
1670025789,400000,49.967834,32.534008∠-102.706164,33.187439∠137.587646,33.066116∠18.005199,
1670025789,440000,49.967819,32.534588∠-103.162966,33.191265∠137.129176,33.069000∠17.548990,
1670025789,480000,49.968285,32.537251∠-103.619010,33.198620∠136.668328,33.075676∠17.089664,
1670025789,520000,49.968945,32.543423∠-104.068452,33.206280∠136.219316,33.083157∠16.642724,
1670025789,560000,49.967773,32.551491∠-104.513549,33.212715∠135.772696,33.091022∠16.195785,
1670025789,600000,49.967297,32.558830∠-104.966381,33.218273∠135.319269,33.098190∠15.743530,
1670025789,640000,49.968220,32.564182∠-105.417593,33.222168∠134.867674,33.101639∠15.287671,
1670025789,680000,49.968334,32.566631∠-105.874785,33.223877∠134.407892,33.102859∠14.824757,
1670025789,720000,49.967896,32.565994∠-106.335619,33.223927∠133.949928,33.101894∠14.370425,
1670025789,760000,49.967392,32.561466∠-106.806383,33.221287∠133.476383,33.100204∠13.901584,
1670025789,800000,49.967857,32.557426∠-107.260049,33.216831∠133.025362,33.098076∠13.445833,
1670025789,840000,49.968582,32.553944∠-107.713797,33.213982∠132.573398,33.095047∠12.993578,
1670025789,880000,49.968559,32.550358∠-108.154061,33.210491∠132.135101,33.090736∠12.556215,
1670025789,920000,49.967983,32.547169∠-108.598174,33.205345∠131.689861,33.086403∠12.110176,
1670025789,960000,49.967808,32.544434∠-109.052783,33.201122∠131.242298,33.083416∠11.655005,
1670025790,0,49.968307,32.541710∠-109.506476,33.196487∠130.786780,33.079765∠11.196382,
1670025790,40000,49.968544,32.540863∠-109.959369,33.196045∠130.336224,33.078972∠10.743333,
1670025790,80000,49.968147,32.541302∠-110.413274,33.198673∠129.882756,33.079712∠10.288773,
1670025790,120000,49.967648,32.542068∠-110.863175,33.202721∠129.433006,33.080818∠9.837358,
1670025790,160000,49.967373,32.543518∠-111.315398,33.205891∠128.975725,33.081577∠9.381835,
1670025790,200000,49.967220,32.543697∠-111.772324,33.207779∠128.515793,33.082565∠8.923854,
1670025790,240000,49.967297,32.542168∠-112.236985,33.208290∠128.046745,33.081245∠8.458770,
1670025790,280000,49.967072,32.541660∠-112.718136,33.206776∠127.564795,33.080429∠7.978444,
1670025790,320000,49.967857,32.540691∠-113.186945,33.204861∠127.101090,33.079311∠7.513117,
1670025790,360000,49.968357,32.539574∠-113.669298,33.203457∠126.623145,33.081463∠7.032333,
1670025790,400000,49.967133,32.540794∠-114.129025,33.203110∠126.165495,33.084248∠6.574168,
1670025790,440000,49.966721,32.542126∠-114.591131,33.202404∠125.703307,33.086399∠6.110566,
1670025790,480000,49.967247,32.543236∠-115.041783,33.202084∠125.250305,33.087696∠5.655181,
1670025790,520000,49.967945,32.544685∠-115.500690,33.203434∠124.790536,33.087971∠5.197031,
1670025790,560000,49.967484,32.544048∠-115.968235,33.202602∠124.323456,33.085896∠4.731932,
1670025790,600000,49.966721,32.542870∠-116.442928,33.201637∠123.854244,33.085316∠4.260144,
1670025790,640000,49.966969,32.542007∠-116.918837,33.198997∠123.382066,33.084167∠3.782446,
1670025790,680000,49.967133,32.543415∠-117.382378,33.195702∠122.919427,33.084259∠3.316094,
1670025790,720000,49.967869,32.542587∠-117.843335,33.193672∠122.462762,33.084019∠2.860511,
1670025790,760000,49.967720,32.542141∠-118.310388,33.193020∠121.994520,33.084137∠2.396573,
1670025790,800000,49.967171,32.542950∠-118.771577,33.193184∠121.530241,33.083931∠1.936880,
1670025790,840000,49.967098,32.542305∠-119.227806,33.195923∠121.072578,33.084118∠1.482717,
1670025790,880000,49.966763,32.541553∠-119.685879,33.199715∠120.617880,33.084553∠1.031394,
1670025790,920000,49.967136,32.541023∠-120.148982,33.200672∠120.153752,33.084614∠0.566036,
1670025790,960000,49.968235,32.541885∠-120.619206,33.202545∠119.688476,33.085114∠0.092552,
1670025791,0,49.969357,32.544113∠-121.085316,33.205475∠119.224321,33.087032∠-0.370668,
1670025791,40000,49.968472,32.550392∠-121.543471,33.212219∠118.765960,33.090935∠-0.829795,
1670025791,80000,49.967247,32.556988∠-121.985376,33.221470∠118.318178,33.096657∠-1.275513,
1670025791,120000,49.967308,32.563053∠-122.427992,33.227879∠117.874250,33.101189∠-1.715427,
1670025791,160000,49.967209,32.566490∠-122.889059,33.232048∠117.413375,33.102654∠-2.175012,
1670025791,200000,49.966797,32.566063∠-123.360635,33.233631∠116.942195,33.100956∠-2.644005,
1670025791,240000,49.967308,32.563644∠-123.843242,33.232227∠116.459219,33.099617∠-3.130104,
1670025791,280000,49.967846,32.560425∠-124.313930,33.231396∠115.989515,33.100361∠-3.602457,
1670025791,320000,49.966621,32.556988∠-124.792860,33.228817∠115.511638,33.099411∠-4.087578,
1670025791,360000,49.965961,32.552670∠-125.255594,33.228626∠115.044503,33.099541∠-4.550462,
1670025791,400000,49.966747,32.548347∠-125.728155,33.228020∠114.576309,33.100208∠-5.014752,
1670025791,440000,49.966995,32.544426∠-126.203203,33.227100∠114.105839,33.099365∠-5.476353,
1670025791,480000,49.967686,32.541157∠-126.678333,33.226295∠113.629417,33.098671∠-5.941192,
1670025791,520000,49.967636,32.539219∠-127.144211,33.225792∠113.168603,33.097420∠-6.398273,
1670025791,560000,49.966972,32.537609∠-127.603241,33.224590∠112.716523,33.097118∠-6.845762,
1670025791,600000,49.967434,32.535423∠-128.064922,33.224289∠112.259584,33.097336∠-7.303789,
1670025791,640000,49.967033,32.532402∠-128.530417,33.223595∠111.796173,33.097775∠-7.765543,
1670025791,680000,49.966721,32.530869∠-128.989147,33.222393∠111.334594,33.097038∠-8.234537,
1670025791,720000,49.967472,32.528404∠-129.446920,33.220299∠110.870979,33.094917∠-8.702338,
1670025791,760000,49.967670,32.526501∠-129.908998,33.218834∠110.406605,33.092625∠-9.167483,
1670025791,800000,49.968357,32.525814∠-130.369340,33.219448∠109.942169,33.093304∠-9.631864,
1670025791,840000,49.967594,32.525520∠-130.840534,33.223003∠109.471009,33.094929∠-10.098902,
1670025791,880000,49.966675,32.528316∠-131.303637,33.227112∠109.008425,33.097916∠-10.555494,
1670025791,920000,49.967636,32.531338∠-131.765906,33.231201∠108.544755,33.099949∠-11.015202,
1670025791,960000,49.967587,32.534836∠-132.224253,33.235489∠108.087864,33.099590∠-11.473504,
1670025792,0,49.967548,32.538071∠-132.688094,33.237133∠107.620838,33.098774∠-11.943597,
1670025792,40000,49.967022,32.539791∠-133.152482,33.236961∠107.151387,33.095661∠-12.420471,
1670025792,80000,49.966812,32.539230∠-133.618797,33.235165∠106.677917,33.090405∠-12.905348,
1670025792,120000,49.967510,32.538586∠-134.086014,33.229492∠106.211705,33.085930∠-13.385521,
1670025792,160000,49.967121,32.539062∠-134.559859,33.224197∠105.740415,33.081947∠-13.864167,
1670025792,200000,49.966373,32.539154∠-135.030985,33.218613∠105.268121,33.081627∠-14.331938,
1670025792,240000,49.967247,32.540642∠-135.496917,33.216087∠104.801143,33.083908∠-14.788132,
1670025792,280000,49.968483,32.542664∠-135.962098,33.214558∠104.338614,33.086716∠-15.246160,
1670025792,320000,49.968121,32.546627∠-136.423000,33.215111∠103.875279,33.090389∠-15.703912,
1670025792,360000,49.967411,32.551014∠-136.887265,33.216858∠103.415989,33.093330∠-16.165269,
1670025792,400000,49.967934,32.554195∠-137.344573,33.221642∠102.959419,33.095146∠-16.619387,
1670025792,440000,49.967632,32.556335∠-137.795621,33.226112∠102.509033,33.097839∠-17.076743,
1670025792,480000,49.966759,32.556580∠-138.256018,33.232040∠102.050509,33.099537∠-17.535534,
1670025792,520000,49.966972,32.553886∠-138.711413,33.235962∠101.596078,33.100327∠-17.992125,
1670025792,560000,49.967422,32.548161∠-139.180680,33.239651∠101.133726,33.099976∠-18.456536,
1670025792,600000,49.967533,32.539974∠-139.641952,33.240463∠100.668628,33.098064∠-18.916031,
1670025792,640000,49.967731,32.534500∠-140.109688,33.240799∠100.201466,33.096889∠-19.380168,
1670025792,680000,49.968544,32.532146∠-140.570331,33.239311∠99.741745,33.098221∠-19.839478,
1670025792,720000,49.968147,32.535164∠-141.029730,33.237179∠99.284909,33.099724∠-20.295061,
1670025792,760000,49.967686,32.538643∠-141.484305,33.237331∠98.836190,33.101200∠-20.743955,
1670025792,800000,49.968033,32.542320∠-141.922437,33.238850∠98.395413,33.101685∠-21.183808,
1670025792,840000,49.967934,32.545174∠-142.375495,33.239338∠97.940442,33.101868∠-21.637713,
1670025792,880000,49.967834,32.545429∠-142.819177,33.238018∠97.496869,33.100849∠-22.086332,
1670025792,920000,49.967670,32.543499∠-143.276731,33.236134∠97.037409,33.098385∠-22.545704,
1670025792,960000,49.967434,32.540390∠-143.733233,33.233665∠96.577313,33.095459∠-23.004251,
1670025793,0,49.968445,32.539951∠-144.193835,33.231224∠96.115665,33.092804∠-23.465608,
1670025793,40000,49.968769,32.539429∠-144.651430,33.229427∠95.654277,33.093250∠-23.920856,
1670025793,80000,49.968208,32.539928∠-145.105840,33.230732∠95.203516,33.095062∠-24.376561,
1670025793,120000,49.968784,32.541721∠-145.557681,33.233330∠94.754285,33.097588∠-24.829212,
1670025793,160000,49.968483,32.541157∠-146.003249,33.236301∠94.303278,33.098495∠-25.280063,
1670025793,200000,49.967880,32.538643∠-146.453519,33.239651∠93.847582,33.099102∠-25.734149,
1670025793,240000,49.968269,32.535172∠-146.889123,33.243095∠93.404003,33.098602∠-26.179898,
1670025793,280000,49.969231,32.532356∠-147.323812,33.246712∠92.962877,33.098450∠-26.625462,
1670025793,320000,49.969330,32.535187∠-147.774915,33.249542∠92.518505,33.097656∠-27.079825,
1670025793,360000,49.968506,32.541439∠-148.227563,33.250118∠92.070853,33.098705∠-27.532659,
1670025793,400000,49.967686,32.550640∠-148.678310,33.247887∠91.625504,33.101620∠-27.983447,
1670025793,440000,49.967312,32.557652∠-149.129386,33.244328∠91.175275,33.103333∠-28.433197,
1670025793,480000,49.967533,32.562057∠-149.583660,33.239246∠90.721842,33.104828∠-28.887224,
1670025793,520000,49.967918,32.562954∠-150.059938,33.235630∠90.243185,33.106022∠-29.361958,
1670025793,560000,49.967880,32.562714∠-150.519652,33.234116∠89.780677,33.105022∠-29.823195,
1670025793,600000,49.967400,32.562744∠-150.995807,33.233276∠89.309920,33.103710∠-30.291758,
1670025793,640000,49.967506,32.561443∠-151.457011,33.232872∠88.850118,33.101570∠-30.751376,
1670025793,680000,49.967747,32.561718∠-151.913499,33.231880∠88.389236,33.099995∠-31.209279,
